Index,Body Part,Pulse Ox,Time,Comments
2,3,98,1352,
3,3,98,1353,
4,3,98,1355,
5,2,98,1355,
6,2,98,1355,
7,2,98,1355,
8,1,98,1356,
9,1,98,1357,
10,1,98,1357,
11,4,98,1358,
12,4,98,1358,
13,4,98,1358,
14,3,97,1400,
15,3,97,1400,
16,3,98,1400,
17,2,97,1401,
18,2,97,1401,
19,2,97,1401,
20,1,97,1403,
21,1,97,1403,
22,1,98,1403,
23,4,98,1404,
24,4,98,1404,
25,4,98,1405,
26,3,98,1406,
27,3,98,1406,
28,3,98,1406,
29,2,99,1407,
30,2,99,1407,
31,2,99,1408,
32,2,98,1408,
33,2,98,1409,
34,2,98,1410,
35,1,98,1410,
36,1,98,1410,
37,1,96,1410,
38,4,99,1412,
39,4,99,1412,
40,4,99,1412,
