ID,Body Part,Pulse Ox,Time,Comments
2,lower leg,99,1422,No shaving
3,lower leg,99,1422,
4,lower leg,99,1422,
5,forearm,99,1424,
6,forearm,99,1424,
7,forearm,99,1424,
8,lower leg,96,1425,
9,lower leg,98,1426,
10,lower leg,98,1427,
11,neck,98,1428,
12,neck,99,1428,
13,neck,98,1428,
14,lower leg,99,1429,
15,lower leg,99,1430,
16,lower leg,99,1430,
17,forearm,99,1431,
18,forearm,99,1431,
19,forearm,97,1431,
20,upper arm,99,1432,
21,upper arm,99,1432,
22,upper arm,100,1432,
23,neck,99,1433,
24,neck,100,1433,
25,neck,99,1434,
26,lower leg,100,1435,
27,lower leg,100,1435,
28,lower leg,100,1436,
29,forearm,99,1437,
30,forearm,100,1437,
31,forearm,100,1437,
32,upper arm,100,1439,
33,upper arm,100,1439,
34,upper arm,100,1439,
35,neck,100,1440,
36,neck,100,1441,
37,neck,100,1441,
